 más       ,plus,SP-EN
 o        ,or,SP-EN
 pero     ,but,SP-EN
 sus       ,their,SP-EN
 le     ,you,SP-EN
 ha     ,he has,SP-EN
 me        ,me,SP-EN
 si       ,yes,SP-EN
 sin      ,without,SP-EN
 sobre    ,on,SP-EN
 este     ,East,SP-EN
 ya       ,already,SP-EN
 entre    ,between,SP-EN
 cuando   ,when,SP-EN
 todo     ,all,SP-EN
 ser      ,be,SP-EN
 son       ,They are,SP-EN
 dos    ,two,SP-EN
 también          ,as well,SP-EN
 fue      ,It was,SP-EN
 había    ,there was,SP-EN
 era      ,was,SP-EN
 muy    ,very,SP-EN
 años      ,years,SP-EN
 hasta    ,until,SP-EN
 desde     ,since,SP-EN
 está     ,this,SP-EN
 mi       ,my,SP-EN
 porque,why,SP-EN
 qué       ,what,SP-EN
 sólo     ,alone,SP-EN
 han       ,They have,SP-EN
 yo     ,I,SP-EN
 hay       ,there are,SP-EN
 vez    ,time,SP-EN
 puede     ,can,SP-EN
 todos    ,everybody,SP-EN
 así    ,so,SP-EN
 nos       ,us,SP-EN
 ni       ,neither,SP-EN
 parte    ,part,SP-EN
 tiene  ,has,SP-EN
 él     ,he,SP-EN
 uno    ,one,SP-EN
 donde  ,where,SP-EN
 bien   ,all right,SP-EN
 tiempo   ,weather,SP-EN
 mismo    ,same,SP-EN
 ese       ,that,SP-EN
 ahora    ,now,SP-EN
 cada      ,each,SP-EN
 e        ,and,SP-EN
 vida   ,lifetime,SP-EN
 otro     ,other,SP-EN
 después         ,after,SP-EN
 te       ,tea,SP-EN
 otros    ,others,SP-EN
 aunque   ,although,SP-EN
 esa       ,that,SP-EN
 eso       ,that,SP-EN
 hace      ,does,SP-EN
 otra     ,other,SP-EN
 gobierno      ,government,SP-EN
 tan    ,so,SP-EN
 durante  ,during,SP-EN
 siempre          ,always,SP-EN
 día      ,day,SP-EN
 tanto    ,so much,SP-EN
 ella     ,she,SP-EN
 tres     ,three,SP-EN
 sí       ,yes,SP-EN
 dijo   ,He said,SP-EN
 sido     ,been,SP-EN
