of,von,EN-GE
and,und,EN-GE
to,nach,EN-GE
a,ein,EN-GE
in,im,EN-GE
is,ist,EN-GE
you,sie,EN-GE
are,sind,EN-GE
for,für,EN-GE
that,dass,EN-GE
or,oder,EN-GE
it,es,EN-GE
as,wie,EN-GE
be,sein,EN-GE
on,auf,EN-GE
your,ihre,EN-GE
with,mit,EN-GE
can,kann,EN-GE
have,haben,EN-GE
this,dies,EN-GE
an,ein,EN-GE
by,durch,EN-GE
not,nicht,EN-GE
but,aber,EN-GE
at,beim,EN-GE
from,von,EN-GE
i,ich,EN-GE
they,sie,EN-GE
more,mehr,EN-GE
will,werden,EN-GE
if,ob,EN-GE
some,etwas,EN-GE
there,dort,EN-GE
what,was,EN-GE
about,etwa,EN-GE
which,welche,EN-GE
when,wann,EN-GE
one,eins,EN-GE
their,ihr,EN-GE
all,alle,EN-GE
also,ebenfalls,EN-GE
how,wie,EN-GE
many,viele,EN-GE
do,machen,EN-GE
has,hat,EN-GE
most,die meisten,EN-GE
people,menschen,EN-GE
other,andere,EN-GE
time,zeit,EN-GE
so,damit,EN-GE
was,war,EN-GE
we,wir,EN-GE
these,diese,EN-GE
may,kann,EN-GE
like,mögen,EN-GE
use,benutzen,EN-GE
into,in,EN-GE
than,als,EN-GE
up,oben,EN-GE
out,aus,EN-GE
who,wer,EN-GE
them,sie,EN-GE
make,machen,EN-GE
because,weil,EN-GE
such,eine solche,EN-GE
through,durch,EN-GE
get,bekommen,EN-GE
work,arbeit,EN-GE
even,sogar,EN-GE
different,anders,EN-GE
its,seine,EN-GE
no,nein,EN-GE
our,unser,EN-GE
new,neu,EN-GE
film,film,EN-GE
just,gerade,EN-GE
only,nur,EN-GE
see,sehen,EN-GE
used,benutzt,EN-GE
good,gut,EN-GE
water,wasser,EN-GE
been,wurden,EN-GE
need,brauchen,EN-GE
should,sollte,EN-GE
very,sehr,EN-GE
any,irgendein,EN-GE
history,geschichte,EN-GE
often,häufig,EN-GE
way,weg,EN-GE
well,gut,EN-GE
art,kunst,EN-GE
know,kennt,EN-GE
were,wurden,EN-GE
then,dann,EN-GE
my,meine,EN-GE
first,zuerst,EN-GE
would,würde,EN-GE
money,geld,EN-GE
each,jeder,EN-GE
over,zu ende,EN-GE
world,welt,EN-GE
information,information,EN-GE
map,karte,EN-GE
find,finden,EN-GE
where,woher,EN-GE
much,viel,EN-GE
take,nehmen,EN-GE
two,zwei,EN-GE
want,wollen,EN-GE
important,wichtig,EN-GE
family,familie,EN-GE
those,jene,EN-GE
example,beispiel,EN-GE
while,während,EN-GE
he,er,EN-GE
look,schau,EN-GE
government,regierung,EN-GE
before,vor,EN-GE
help,hilfe,EN-GE
between,zwischen,EN-GE
go,gehen,EN-GE
own,besitzen,EN-GE
however,aber,EN-GE
business,geschäft,EN-GE
us,uns,EN-GE
great,groß,EN-GE
his,seine,EN-GE
being,sein,EN-GE
another,eine andere,EN-GE
health,gesundheit,EN-GE
same,gleich,EN-GE
study,studie,EN-GE
why,warum,EN-GE
few,wenige,EN-GE
game,spiel,EN-GE
might,macht,EN-GE
think,denken,EN-GE
free,frei,EN-GE
too,auch,EN-GE
had,hätten,EN-GE
hi,hallo,EN-GE
right,recht,EN-GE
still,immer noch,EN-GE
system,system,EN-GE
after,nach,EN-GE
computer,computer,EN-GE
best,beste,EN-GE
must,sollen,EN-GE
her,ihr,EN-GE
life,leben,EN-GE
since,schon seit,EN-GE
could,könnte,EN-GE
does,nicht,EN-GE
now,jetzt,EN-GE
during,während,EN-GE
learn,lernen,EN-GE
around,um,EN-GE
usually,gewöhnlich,EN-GE
form,bilden,EN-GE
meat,fleisch,EN-GE
air,luft,EN-GE
day,tag,EN-GE
place,ort,EN-GE
become,werden,EN-GE
number,nummer,EN-GE
public,öffentlichkeit,EN-GE
read,lesen,EN-GE
keep,behalten,EN-GE
part,teil,EN-GE
start,anfang,EN-GE
year,jahr,EN-GE
every,jeden,EN-GE
field,feld,EN-GE
large,groß,EN-GE
once,einmal,EN-GE
available,erhältlich,EN-GE
down,unten,EN-GE
give,geben,EN-GE
fish,fisch,EN-GE
human,menschlichen,EN-GE
both,beide,EN-GE
local,lokal,EN-GE
sure,sicher,EN-GE
something,etwas,EN-GE
without,ohne,EN-GE
come,kommen,EN-GE
me,mich,EN-GE
back,zurück,EN-GE
better,besser,EN-GE
general,general,EN-GE
process,verarbeiten,EN-GE
she,sie,EN-GE
heat,hitze,EN-GE
thanks,vielen dank,EN-GE
specific,spezifisch,EN-GE
enough,genug,EN-GE
long,lange,EN-GE
lot,los,EN-GE
hand,hand,EN-GE
popular,beliebt,EN-GE
small,klein,EN-GE
though,obwohl,EN-GE
experience,erfahrung,EN-GE
include,einschließen,EN-GE
job,job,EN-GE
music,musik-,EN-GE
person,person,EN-GE
really,wirklich,EN-GE
although,obwohl,EN-GE
thank,danken,EN-GE
book,buch,EN-GE
early,früh,EN-GE
reading,lesen,EN-GE
end,ende,EN-GE
method,methode,EN-GE
never,nie,EN-GE
less,weniger,EN-GE
play,spielen,EN-GE
able,fähig,EN-GE
data,daten,EN-GE
feel,fühlen,EN-GE
high,hoch,EN-GE
off,aus,EN-GE
point,punkt,EN-GE
type,art,EN-GE
whether,ob,EN-GE
food,lebensmittel,EN-GE
understanding,verstehen,EN-GE
here,hier,EN-GE
home,zuhause,EN-GE
certain,sicher,EN-GE
economy,wirtschaft,EN-GE
little,wenig,EN-GE
theory,theorie,EN-GE
tonight,heute abend,EN-GE
law,recht,EN-GE
put,stellen,EN-GE
under,unter,EN-GE
value,wert,EN-GE
always,immer,EN-GE
body,körper,EN-GE
common,verbreitet,EN-GE
market,markt,EN-GE
set,set,EN-GE
bird,vogel,EN-GE
guide,führen,EN-GE
provide,zu verfügung stellen,EN-GE
change,veränderung,EN-GE
interest,interessieren,EN-GE
literature,literatur,EN-GE
sometimes,manchmal,EN-GE
problem,problem,EN-GE
say,sagen,EN-GE
next,nächster,EN-GE
create,erstellen,EN-GE
simple,einfach,EN-GE
software,software,EN-GE
state,bundesland,EN-GE
together,zusammen,EN-GE
control,steuern,EN-GE
knowledge,wissen,EN-GE
power,power,EN-GE
radio,radio,EN-GE
ability,fähigkeit,EN-GE
basic,basic,EN-GE
course,kurs,EN-GE
economics,wirtschaft,EN-GE
hard,hart,EN-GE
add,hinzufügen,EN-GE
company,unternehmen,EN-GE
known,bekannt,EN-GE
love,liebe,EN-GE
past,vergangenheit,EN-GE
price,preis,EN-GE
size,größe,EN-GE
away,ein weg,EN-GE
big,groß,EN-GE
internet,internet,EN-GE
possible,möglich,EN-GE
television,fernsehen,EN-GE
three,drei,EN-GE
understand,verstehen,EN-GE
various,verschiedene,EN-GE
yourself,sich,EN-GE
card,karte,EN-GE
difficult,schwer,EN-GE
including,einschließlich,EN-GE
list,liste,EN-GE
mind,verstand,EN-GE
particular,insbesondere,EN-GE
real,echt,EN-GE
science,wissenschaft,EN-GE
trade,handel,EN-GE
consider,erwägen,EN-GE
either,entweder,EN-GE
library,bibliothek,EN-GE
likely,wahrscheinlich,EN-GE
nature,natur,EN-GE
fact,tatsache,EN-GE
line,linie,EN-GE
product,produkt,EN-GE
care,pflege,EN-GE
group,gruppe,EN-GE
idea,idee,EN-GE
risk,risiko,EN-GE
several,mehrere,EN-GE
someone,jemand,EN-GE
temperature,temperatur,EN-GE
united,vereinigt,EN-GE
word,wort,EN-GE
fat,fett,EN-GE
force,kraft,EN-GE
key,schlüssel,EN-GE
light,licht,EN-GE
simply,einfach,EN-GE
today,heute,EN-GE
training,ausbildung,EN-GE
until,bis,EN-GE
major,haupt,EN-GE
name,name,EN-GE
personal,persönlich,EN-GE
school,schule,EN-GE
top,oben,EN-GE
current,strom,EN-GE
generally,allgemein,EN-GE
historical,historisch,EN-GE
investment,investition,EN-GE
left,links,EN-GE
national,national,EN-GE
amount,menge,EN-GE
level,ebene,EN-GE
order,auftrag,EN-GE
practice,praxis,EN-GE
research,forschung,EN-GE
sense,sinn,EN-GE
service,bedienung,EN-GE
area,bereich,EN-GE
cut,schneiden,EN-GE
hot,heiß,EN-GE
instead,stattdessen,EN-GE
least,am wenigsten,EN-GE
natural,natürlich,EN-GE
physical,physischen,EN-GE
piece,stück,EN-GE
show,show,EN-GE
society,gesellschaft,EN-GE
try,versuchen,EN-GE
check,prüfen,EN-GE
choose,wählen,EN-GE
develop,entwickeln,EN-GE
second,zweite,EN-GE
useful,sinnvoll,EN-GE
web,web,EN-GE
activity,aktivität,EN-GE
boss,chef,EN-GE
short,kurz,EN-GE
story,geschichte,EN-GE
call,anruf,EN-GE
industry,industrie,EN-GE
last,letzte,EN-GE
media,medien,EN-GE
mental,geistig,EN-GE
move,bewegung,EN-GE
pay,bezahlen,EN-GE
sport,sport,EN-GE
thing,ding,EN-GE
actually,tatsächlich,EN-GE
against,gegen,EN-GE
far,weit,EN-GE
fun,spaß,EN-GE
house,haus,EN-GE
let,lassen,EN-GE
page,seite,EN-GE
remember,merken,EN-GE
term,begriff,EN-GE
test,test,EN-GE
within,innerhalb,EN-GE
along,entlang,EN-GE
