of,von
and,und
to,nach
a,ein
in,im
is,ist
you,sie
are,sind
for,für
that,dass
or,oder
it,es
as,wie
be,sein
on,auf
your,ihre
with,mit
can,kann
have,haben
this,dies
an,ein
by,durch
not,nicht
but,aber
at,beim
from,von
i,ich
they,sie
more,mehr
will,werden
if,ob
some,etwas
there,dort
what,was
about,etwa
which,welche
when,wann
one,eins
their,ihr
all,alle
also,ebenfalls
how,wie
many,viele
do,machen
has,hat
most,die meisten
people,menschen
other,andere
time,zeit
so,damit
was,war
we,wir
these,diese
may,kann
like,mögen
use,benutzen
into,in
than,als
up,oben
out,aus
who,wer
them,sie
make,machen
because,weil
such,eine solche
through,durch
get,bekommen
work,arbeit
even,sogar
different,anders
its,seine
no,nein
our,unser
new,neu
film,film
just,gerade
only,nur
see,sehen
used,benutzt
good,gut
water,wasser
been,wurden
need,brauchen
should,sollte
very,sehr
any,irgendein
history,geschichte
often,häufig
way,weg
well,gut
art,kunst
know,kennt
were,wurden
then,dann
my,meine
first,zuerst
would,würde
money,geld
each,jeder
over,zu ende
world,welt
information,information
map,karte
find,finden
where,woher
much,viel
take,nehmen
two,zwei
want,wollen
important,wichtig
family,familie
those,jene
example,beispiel
while,während
he,er
look,schau
government,regierung
before,vor
help,hilfe
between,zwischen
go,gehen
own,besitzen
however,aber
business,geschäft
us,uns
great,groß
his,seine
being,sein
another,eine andere
health,gesundheit
same,gleich
study,studie
why,warum
few,wenige
game,spiel
might,macht
think,denken
free,frei
too,auch
had,hätten
hi,hallo
right,recht
still,immer noch
system,system
after,nach
computer,computer
best,beste
must,sollen
her,ihr
life,leben
since,schon seit
could,könnte
does,nicht
now,jetzt
during,während
learn,lernen
around,um
usually,gewöhnlich
form,bilden
meat,fleisch
air,luft
day,tag
place,ort
become,werden
number,nummer
public,öffentlichkeit
read,lesen
keep,behalten
part,teil
start,anfang
year,jahr
every,jeden
field,feld
large,groß
once,einmal
available,erhältlich
down,unten
give,geben
fish,fisch
human,menschlichen
both,beide
local,lokal
sure,sicher
something,etwas
without,ohne
come,kommen
me,mich
back,zurück
better,besser
general,general
process,verarbeiten
she,sie
heat,hitze
thanks,vielen dank
specific,spezifisch
enough,genug
long,lange
lot,los
hand,hand
popular,beliebt
small,klein
though,obwohl
experience,erfahrung
include,einschließen
job,job
music,musik-
person,person
really,wirklich
although,obwohl
thank,danken
book,buch
early,früh
reading,lesen
end,ende
method,methode
never,nie
less,weniger
play,spielen
able,fähig
data,daten
feel,fühlen
high,hoch
off,aus
point,punkt
type,art
whether,ob
food,lebensmittel
understanding,verstehen
here,hier
home,zuhause
certain,sicher
economy,wirtschaft
little,wenig
theory,theorie
tonight,heute abend
law,recht
put,stellen
under,unter
value,wert
always,immer
body,körper
common,verbreitet
market,markt
set,set
bird,vogel
guide,führen
provide,zu verfügung stellen
change,veränderung
interest,interessieren
literature,literatur
sometimes,manchmal
problem,problem
say,sagen
next,nächster
create,erstellen
simple,einfach
software,software
state,bundesland
together,zusammen
control,steuern
knowledge,wissen
power,power
radio,radio
ability,fähigkeit
basic,basic
course,kurs
economics,wirtschaft
hard,hart
add,hinzufügen
company,unternehmen
known,bekannt
love,liebe
past,vergangenheit
price,preis
size,größe
away,ein weg
big,groß
internet,internet
possible,möglich
television,fernsehen
three,drei
understand,verstehen
various,verschiedene
yourself,sich
card,karte
difficult,schwer
including,einschließlich
list,liste
mind,verstand
particular,insbesondere
real,echt
science,wissenschaft
trade,handel
consider,erwägen
either,entweder
library,bibliothek
likely,wahrscheinlich
nature,natur
fact,tatsache
line,linie
product,produkt
care,pflege
group,gruppe
idea,idee
risk,risiko
several,mehrere
someone,jemand
temperature,temperatur
united,vereinigt
word,wort
fat,fett
force,kraft
key,schlüssel
light,licht
simply,einfach
today,heute
training,ausbildung
until,bis
major,haupt
name,name
personal,persönlich
school,schule
top,oben
current,strom
generally,allgemein
historical,historisch
investment,investition
left,links
national,national
amount,menge
level,ebene
order,auftrag
practice,praxis
research,forschung
sense,sinn
service,bedienung
area,bereich
cut,schneiden
hot,heiß
instead,stattdessen
least,am wenigsten
natural,natürlich
physical,physischen
piece,stück
show,show
society,gesellschaft
try,versuchen
check,prüfen
choose,wählen
develop,entwickeln
second,zweite
useful,sinnvoll
web,web
activity,aktivität
boss,chef
short,kurz
story,geschichte
call,anruf
industry,industrie
last,letzte
media,medien
mental,geistig
move,bewegung
pay,bezahlen
sport,sport
thing,ding
actually,tatsächlich
against,gegen
far,weit
fun,spaß
house,haus
let,lassen
page,seite
remember,merken
term,begriff
test,test
within,innerhalb
along,entlang
answer,antworten
increase,"erhöhen, ansteigen"
oven,ofen
quite,ganz
scared,erschrocken
single,single
sound,klingen
again,aufs neue
community,gemeinschaft
definition,definition
focus,fokus
individual,person
matter,angelegenheit
safety,sicherheit
turn,wende
everything,alles
kind,art
quality,qualität
soil,boden
ask,fragen
board,tafel
buy,kaufen
development,entwicklung
guard,bewachen
hold,halten
language,sprache
later,später
main,main
offer,angebot
oil,öl
picture,bild
potential,potenzial
professional,professional
rather,lieber
access,zugriff
additional,zusätzlich
almost,fast
especially,insbesondere
garden,garten
international,international
lower,niedriger
management,management
open,öffnen
player,spieler
range,angebot
rate,preis
reason,grund
travel,reise
variety,vielfalt
video,video
week,woche
above,über
according,entsprechend
cook,koch
determine,bestimmen
future,zukunft
site,standort
alternative,alternative
demand,nachfrage
ever,jemals
exercise,übung
following,folgen
image,image
quickly,schnell
special,besondere
working,arbeiten
case,fall
cause,ursache
coast,küste
probably,wahrscheinlich
security,sicherheit
true,wahr
whole,ganze
action,aktion
age,alter
among,unter
bad,schlecht
boat,boot
country,land
dance,tanzen
exam,prüfung
excuse,ausrede
grow,größer werden
movie,film
organization,organisation
record,aufzeichnen
result,ergebnis
section,abschnitt
across,über
already,bereits
below,unten
building,gebäude
mouse,maus
allow,zulassen
cash,kasse
class,klasse
clear,klar
dry,trocken
easy,einfach
emotional,emotional
equipment,ausrüstung
live,leben
nothing,nichts
period,periode
physics,physik
plan,planen
store,geschäft
tax,steuer
analysis,analyse
cold,kalt
commercial,kommerziell
directly,direkt
full,voll
involved,beteiligt
itself,selbst
low,niedrig
old,alt
policy,politik
political,politisch
purchase,kauf
series,serie
side,seite
subject,fach
supply,liefern
therefore,deswegen
thought,gedanke
basis,basis
boyfriend,freund
deal,deal
direction,richtung
mean,bedeuten
primary,primär
space,raum
strategy,strategie
technology,technologie
worth,wert
army,armee
camera,kamera
fall,fall
freedom,freiheit
paper,papier-
rule,regel
similar,ähnlich
stock,stock
weather,wetter
yet,noch
bring,bringen
chance,chance
environment,umwelt
everyone,jeder
